word	type	count	position	team
training	word	28247	N/A	N/A
set	word	28214	N/A	N/A
reliever	word	28197	N/A	N/A
never	word	27918	N/A	N/A
among	word	27433	N/A	N/A
signing	word	27418	N/A	N/A
majors	word	27309	N/A	N/A
times	word	27290	N/A	N/A
round	word	27222	N/A	N/A
above	word	27035	N/A	N/A
injured	word	27008	N/A	N/A
eight	word	26602	N/A	N/A
nine	word	26325	N/A	N/A
batters	word	26259	N/A	N/A
recent	word	26167	N/A	N/A
value	word	26095	N/A	N/A
including	word	26078	N/A	N/A
veteran	word	25957	N/A	N/A
under	word	25954	N/A	N/A
surgery	word	25749	N/A	N/A
bats	word	25669	N/A	N/A
opening	word	25615	N/A	N/A
either	word	25613	N/A	N/A
took	word	25469	N/A	N/A
b	word	25412	N/A	N/A
without	word	25259	N/A	N/A
posted	word	25259	N/A	N/A
defensive	word	25070	N/A	N/A
expected	word	24906	N/A	N/A
struck	word	24901	N/A	N/A
short	word	24709	N/A	N/A
closer	word	24609	N/A	N/A
started	word	24519	N/A	N/A
why	word	24472	N/A	N/A
our	word	24448	N/A	N/A
postseason	word	24420	N/A	N/A
mark	word	24390	N/A	N/A
less	word	24296	N/A	N/A
matt	word	24182	N/A	N/A
weeks	word	24086	N/A	N/A
number	word	24062	N/A	N/A
probably	word	24041	N/A	N/A
find	word	23932	N/A	N/A
wrc	word	23775	N/A	N/A
sign	word	23669	N/A	N/A
himself	word	23661	N/A	N/A
staff	word	23598	N/A	N/A
injuries	word	23542	N/A	N/A
gave	word	23462	N/A	N/A
jr	word	23442	N/A	N/A
certainly	word	23327	N/A	N/A
ryan	word	23261	N/A	N/A
fastball	word	23226	N/A	N/A
me	word	23112	N/A	N/A
system	word	23033	N/A	N/A
bases	word	23010	N/A	N/A
course	word	22945	N/A	N/A
hasn	word	22906	N/A	N/A
performance	word	22795	N/A	N/A
currently	word	22788	N/A	N/A
term	word	22755	N/A	N/A
john	word	22748	N/A	N/A
perhaps	word	22638	N/A	N/A
open	word	22586	N/A	N/A
com	word	22436	N/A	N/A
bottom	word	22397	N/A	N/A
