word	type	count	position	team
discipline	word	2964	N/A	N/A
disciplined	word	357	N/A	N/A
patient	word	1874	N/A	N/A
patience	word	2051	N/A	N/A
professional	word	7521	N/A	N/A
friendly	word	3907	N/A	N/A
leader	word	4236	N/A	N/A
leadership	word	2637	N/A	N/A
scrappy	word	165	N/A	N/A
gritty	word	198	N/A	N/A
grit	word	214	N/A	N/A
smart	word	1956	N/A	N/A
competitive	word	7236	N/A	N/A
effort	word	6106	N/A	N/A
steady	word	2562	N/A	N/A
confidence	word	4866	N/A	N/A
confident	word	2547	N/A	N/A
intelligent	word	248	N/A	N/A
intelligence	word	655	N/A	N/A
hustle	word	638	N/A	N/A
calm	word	524	N/A	N/A
awareness	word	291	N/A	N/A
gamer	word	178	N/A	N/A
mature	word	456	N/A	N/A
maturity	word	337	N/A	N/A
presence	word	5377	N/A	N/A
sharp	word	2988	N/A	N/A
explosive	word	516	N/A	N/A
fiery	word	188	N/A	N/A
emotion	word	401	N/A	N/A
emotional	word	772	N/A	N/A
intense	word	454	N/A	N/A
intensity	word	400	N/A	N/A
big	word	83216	N/A	N/A
strong	word	31740	N/A	N/A
potential	word	32231	N/A	N/A
talent	word	20296	N/A	N/A
talented	word	6236	N/A	N/A
ability	word	17199	N/A	N/A
strength	word	6155	N/A	N/A
slow	word	5631	N/A	N/A
fast	word	3916	N/A	N/A
speed	word	12998	N/A	N/A
power	word	36275	N/A	N/A
powerful	word	1548	N/A	N/A
versatile	word	2135	N/A	N/A
versatility	word	3541	N/A	N/A
natural	word	2521	N/A	N/A
physical	word	2439	N/A	N/A
weight	word	1986	N/A	N/A
large	word	5385	N/A	N/A
gift	word	629	N/A	N/A
gifted	word	445	N/A	N/A
athlete	word	1142	N/A	N/A
built	word	3645	N/A	N/A
durable	word	1225	N/A	N/A
tall	word	950	N/A	N/A
agility	word	114	N/A	N/A
instinct	word	137	N/A	N/A
raw	word	2739	N/A	N/A
quick	word	5978	N/A	N/A
aptitude	word	96	N/A	N/A
flexible	word	493	N/A	N/A
flexibility	word	4679	N/A	N/A
muscle	word	1295	N/A	N/A
injury	word	49425	N/A	N/A
injuries	word	23542	N/A	N/A
injured	word	27008	N/A	N/A
age	word	16982	N/A	N/A
health	word	8843	N/A	N/A
healthy	word	21795	N/A	N/A
suspension	word	2977	N/A	N/A
suspended	word	1514	N/A	N/A
clubhouse	word	5667	N/A	N/A
veteran	word	25957	N/A	N/A
expensive	word	2863	N/A	N/A
salary	word	20052	N/A	N/A
contract	word	53241	N/A	N/A
dollars	word	2646	N/A	N/A
pay	word	8886	N/A	N/A
cheap	word	3188	N/A	N/A
trade	word	106650	N/A	N/A
dominican	word	3514	N/A	N/A
american	word	2212	N/A	N/A
canadian	word	843	N/A	N/A
canada	word	936	N/A	N/A
japan	word	3340	N/A	N/A
japanese	word	1725	N/A	N/A
puerto	word	1034	N/A	N/A
rican	word	231	N/A	N/A
venezuela	word	1067	N/A	N/A
venezuelan	word	628	N/A	N/A
colombia	word	232	N/A	N/A
curacao	word	101	N/A	N/A
cuba	word	797	N/A	N/A
cuban	word	1149	N/A	N/A
mexico	word	853	N/A	N/A
mexican	word	484	N/A	N/A
